,Citation,DOI,2.1 Flow Type.x,Task,2.1 Flow Type.y,2.2 Subtype.NEW,2.2 Subtype.x.OLD
117,"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,Biotic,,,range shift,
118,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,Physical,wildfire,river flow
119,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,Biotic,wildfire,migration
120,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
121,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
122,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
123,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
124,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
125,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
126,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,RE-ASSIGNed - WILDFIRES IMPACTS ON STREAM TEMP,,wildfire,
127,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,Physical,migration,river flow
128,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,Biotic,migration,migration
129,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
130,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
131,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
132,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
133,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
134,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
135,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,,,migration,
136,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,RE-ASSIGN - CLIMATE TRIGGERS ARE OCEAN RELATED NOT FRESHWATER??,"Physical, Human movement, Trade (transport of goods and services), Sociocultural, Biotic",,"range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
137,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,RE-ASSIGN - CLIMATE TRIGGERS ARE OCEAN RELATED NOT FRESHWATER??,,,
138,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,RE-ASSIGN - CLIMATE TRIGGERS ARE OCEAN RELATED NOT FRESHWATER??,,,
139,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,RE-ASSIGN - CLIMATE TRIGGERS ARE OCEAN RELATED NOT FRESHWATER??,,,
140,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,RE-ASSIGN - CLIMATE TRIGGERS ARE OCEAN RELATED NOT FRESHWATER??,,,
141,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,RE-ASSIGN - CLIMATE TRIGGERS ARE OCEAN RELATED NOT FRESHWATER??,,,
