Citation,DOI,2.1 Flow Type,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData
"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",Sociocultural,Sociocultural,transboundary water governance (often international),transboundary water governance (often international),,,,,,
"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",Physical,Physical,stream flow,stream flow,,,,,,
"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",Physical,Biotic,stream flow,stream flow,,,,,,
"Vaddey, 2010, Watershed Management",https://doi.org/10.1061/41143(394)9,Physical,Physical,,River Flow,,,,,,
"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	",Physical,Physical,wildfire,Fire,,,,,,
"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	",Physical,Biotic,Range shift,Range shift,,,,,,
"Wu et al., 2022, Reviews of the Environmental Contamination and Toxicology",https://doi.org/10.1007/s44169-022-00016-8,Physical,Physical,pollution flow,Mercury pollution,,,,,,
"Zak et al., 2020, Earth-Science Reviews",https://doi.org/10.1016/j.earscirev.2020.103446,Physical,Physical,pollution flow,sulfate pollution,,,,,,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Physical,Physical,Glacial retreat,Glacial retreat;; range shift,,,,,,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Physical,Biotic,Glacial retreat,Glacial retreat;; range shift,,,,,,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,Physical,Range shift,Glacial retreat;; range shift,,,,,,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,Biotic,Range shift,Glacial retreat;; range shift,,,,,,
